doc,1,2,3,4,5
data/abs_(id=7)__(issue=No 6 (2019))__(year=2019).txt,0.028967102989554405,0.029201751574873924,0.02897976525127888,0.029030259698629383,0.8838211297988892
data/abs_(issue=No 3 (2018))__(year=2018).txt,0.022316895425319668,0.022444792091846463,0.022478017956018448,0.02237580344080925,0.910384476184845
data/abs_(issue=No 5 (2019))__(year=2019).txt,0.025906708091497418,0.02601713128387928,0.026044894009828568,0.02597713284194469,0.8960541486740112
data/abs_(id=38)__(issue=No 2 (2018))__(year=2018).txt,0.03861209750175476,0.038840118795633316,0.03906742110848427,0.03905675560235977,0.8444235920906067
data/abs_(issue=No 4 (2019))__(year=2019).txt,0.028814077377319336,0.028831636533141136,0.8846598863601685,0.0288559515029192,0.028838399797677994
data/abs_(issue=No 2 (2018))__(year=2018).txt,0.026535062119364742,0.8936481475830078,0.026661006733775142,0.02655037865042686,0.0266053956001997
data/abs_(id=24)__(issue=No 4 (2019))__(year=2019).txt,0.03296835720539093,0.8679507970809937,0.033533331006765366,0.032765444368124015,0.032782074064016335
data/abs_(id=37)__(issue=No 2 (2018))__(year=2018).txt,0.02174445427954197,0.9120627641677856,0.022055091336369514,0.022081391885876656,0.022056300193071362
data/abs_(id=27)__(issue=No 4 (2019))__(year=2019).txt,0.02195790223777294,0.022191865369677544,0.9111750721931458,0.022118134424090385,0.022556986659765244
data/abs_(id=8)__(issue=No 6 (2019))__(year=2019).txt,0.027092762291431427,0.027322959154844284,0.027351180091500282,0.02748993597924709,0.8907431364059448
data/abs_(id=40)__(issue=No 1 (2017))__(year=2017).txt,0.020461371168494225,0.02077558636665344,0.9172317385673524,0.020840274170041084,0.020691066980361942
data/abs_(id=34)__(issue=No 2 (2018))__(year=2018).txt,0.027388893067836758,0.027531404048204425,0.8900941014289856,0.027491580694913864,0.02749403938651085
data/abs_(id=4)__(issue=No 7 (2019))__(year=2019).txt,0.023896774277091026,0.024019461125135425,0.02441706508398056,0.903675615787506,0.023991132155060768
data/abs_(id=0)__(issue=No 8 (2020))__(year=2020).txt,0.027349770069122314,0.8892908692359924,0.027834787964820862,0.02782958000898361,0.027694972231984142
data/abs_(id=21)__(issue=No 4 (2019))__(year=2019).txt,0.041787199676036835,0.0417277030646801,0.8327780961990356,0.04181817919015885,0.04188879579305649
data/abs_(id=10)__(issue=No 6 (2019))__(year=2019).txt,0.0268835723400116,0.027076490223407745,0.027359317988157272,0.027231337502598763,0.8914492726325989
data/abs_(id=17)__(issue=No 4 (2019))__(year=2019).txt,0.026745084673166275,0.026609692722558972,0.02780135720968246,0.8917347192764282,0.027109144255518917
data/abs_(id=31)__(issue=No 4 (2019))__(year=2019).txt,0.028814198449254036,0.028831703588366512,0.884659469127655,0.028856245800852776,0.028838364407420162
data/abs_(id=22)__(issue=No 4 (2019))__(year=2019).txt,0.033030539751052856,0.03296780213713646,0.03313227742910385,0.03288627788424492,0.8679831027984619
data/abs_(id=3)__(issue=No 8 (2020))__(year=2020).txt,0.025924403220415115,0.026080410927534103,0.8959928154945374,0.02597619779407978,0.0260261669754982
